Department_Description,ZAPATO DEPORTIVO MUJ,ZAP. FLATS MUJER,ZAP. TACON MUJER,ZAP. TACON CORRIDO M,SANDALIAS MUJER,BOTAS MUJER,ZAPATOS FIESTA MUJER
February,16402,772972,114743,201982,189958,41533,3798
March,16567,577994,139021,263538,507717,33697,9973
April,16470,376777,139870,270324,310120,16345,20155
May,47167,698739,245557,478847,371254,31057,42971
June,93154,846712,496600,537142,369307,69939,92571
July,110601,744768,397194,471468,349671,58948,101546
August,109234,918303,322512,418268,263388,53350,107316
September,105438,837448,275142,362618,187004,50306,107626
October,140389,857302,242477,483746,246738,49391,98551
November,183878,864170,644457,786063,223478,135260,260093
December,832093,3011598,1751308,2160077,466551,814871,580773
January,150897,985283,237186,460651,110623,58327,49298
